Date_Time,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
02.05.2022 23:00,18.6,757.4,763.1,1.3,75,从东北偏北方向吹来的风,3,,8,,云量发展情况没有进行观测或无法观测。 ,,,,19.6,,,2500或更高，或无云。,,,30,14,降水迹象,12,,,,
02.05.2022 20:00,19,756.1,761.8,1.2,72,从东北方吹来的风,1,,9,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,15.3,19.6,,,2500或更高，或无云。,,,30,13.8,降水迹象,12,,,,
02.05.2022 17:00,19.1,754.9,760.6,-0.6,75,从东北偏北方向吹来的风,3,,9,,小雨（不冻） ,小雨,在整个相应周期内云遮住了一半或以下的天空,15.3,19.6,,,2500或更高，或无云。,,,30,14.5,5,12,,,,
02.05.2022 14:00,19.2,755.5,761.2,-0.6,76,从东北偏北方向吹来的风,3,,9,,小雨（不冻） ,小雨,在整个相应周期内云遮住了一半或以下的天空,15.3,19.6,,,2500或更高，或无云。,,,30,14.8,14,12,,,,
02.05.2022 11:00,18.2,756.1,761.8,0.2,81,从东北偏北方向吹来的风,4,,9,,毛毛雨（不冻）或者小雪粒 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,15.3,18.4,,,2500或更高，或无云。,,,30,14.8,23,12,,,,
02.05.2022 08:00,15.6,755.9,761.7,1,94,从东北偏北方向吹来的风,2,,7,,间歇性毛毛雨，不冻，在观测时是微弱的 ,雨,在整个相应周期内云遮住了一半或以下的天空,15.3,,,,2500或更高，或无云。,,,30,14.6,31,12,,,,
02.05.2022 05:00,15.4,754.9,760.6,-0.3,95,从东北偏北方向吹来的风,2,,13,,间歇性雨，不冻，在观测时中度 ,,,15.4,,,,2500或更高，或无云。,,,5,14.6,33,12,,,,
02.05.2022 02:00,15.7,755.2,760.9,-1.1,94,从北方吹来的风,3,,13,,间歇性雨，不冻，在观测时较弱 ,小雨,在整个相应周期内云遮住了一半或以下的天空,15.6,,,,2500或更高，或无云。,,,10,14.7,36,12,,,,
01.05.2022 23:00,16.3,756.3,762,1.5,95,从东北偏北方向吹来的风,2,,13,,间歇性雨，不冻，在观测时较弱 ,,,16.1,,,,2500或更高，或无云。,,,11,15.5,33,12,,,,
01.05.2022 20:00,16.4,754.8,760.5,0.9,93,从东北偏北方向吹来的风,5,,13,,间歇性雨，不冻，在观测时中度 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.3,,,,2500或更高，或无云。,,,8,15.2,29,12,,,,
01.05.2022 17:00,16.8,753.9,759.6,-0.1,94,从东北偏北方向吹来的风,4,,12,,间歇性雨，不冻，在观测时中度 ,小雨,在整个相应周期内云遮住了一半或以下的天空,16.8,25.3,,,2500或更高，或无云。,,,5,15.8,24,12,,,,
