Date_Time,T,T_pre
08.05.2022 23:00,23.9,23.4
08.05.2022 20:00,24.6,23.8
08.05.2022 17:00,25.7,25.9
08.05.2022 14:00,25.1,23.4
08.05.2022 11:00,26.1,26.3
08.05.2022 08:00,23.2,25.3
08.05.2022 05:00,22.4,23.3
08.05.2022 02:00,23.1,23.1
07.05.2022 23:00,23.3,23.5
07.05.2022 20:00,23.4,23.6
07.05.2022 17:00,24.9,24.8
07.05.2022 14:00,27.5,26.9
07.05.2022 11:00,28.2,28.4
07.05.2022 08:00,24.1,23.2
07.05.2022 05:00,23.1,23.1
07.05.2022 02:00,23.4,23.2
06.05.2022 23:00,24.2,25.8
06.05.2022 20:00,25,26.2
06.05.2022 17:00,28,26.3
06.05.2022 14:00,28.4,27.6
06.05.2022 11:00,28.4,27.9
06.05.2022 08:00,24.4,26.8
06.05.2022 05:00,22.3,23.1
06.05.2022 02:00,22.4,23.2
